uid,breed,ani_age,date,weight,is_medical,product_group,product_name,product_count,wellness_plan,visit_number,visit_more_than_once,max_num_visit,first_visit_spend,total_future_spend
2_1330,Terrier Mix,14.0,2020-03-04,0.0,0,Boarding,Daycare,0,0,1,1,8,25.0,1403.08
2_1332,mix,3.0,2020-09-27,0.0,0,Boarding,Boarding (Additional Pet) 09-24-2020 -> 09-27-2020,0,0,1,1,3,105.0,190.0
2_1332,mix,3.0,2020-09-27,0.0,0,Staff Bath,Basic Bath,0,0,1,1,3,105.0,190.0
2_1358,Miniature Schnauzer,3.0,2020-08-17,0.0,0,Staff Bath,Basic Bath,0,0,1,1,3,60.0,120.0
2_1359,Labradoodle,3.0,2020-08-17,0.0,0,Staff Bath,Basic Bath,0,0,1,1,3,30.0,55.0
2_1392,Boston Terrier,12.0,2020-03-09,0.0,0,Boarding,1st dog DOUBLE DOG MONDAY,0,0,1,1,34,25.0,1123.91
2_1397,Pomeranian,12.0,2020-03-07,0.0,0,Boarding,Boarding (Additional Pet),0,0,1,1,28,175.0,4519.0
2_1398,Pomeranian,5.0,2020-03-31,0.0,0,Boarding,Daycare Half Day,0,0,1,1,12,30.0,434.15
2_1398,Pomeranian,5.0,2020-04-01,0.0,0,Boarding,Daycare Half Day,0,0,1,1,12,30.0,434.15
2_1414,Shih Tzu,5.0,2020-05-15,0.0,0,Boarding,Daycare (Additional Pet),0,0,1,1,15,40.0,805.29
2_1414,Shih Tzu,5.0,2020-05-15,0.0,0,Staff Bath,Basic Bath,0,0,1,1,15,40.0,805.29
2_1444,Terrier Mix,5.0,2020-03-17,0.0,0,Boarding,DC Punch 1 Dog 11 Days,0,19,1,1,31,200.0,3223.0
2_1444,Terrier Mix,5.0,2020-03-17,0.0,0,Boarding,Daycare,0,19,1,1,31,200.0,3223.0
2_1454,Chihuahua,14.0,2020-03-06,0.0,0,Boarding,Boarding,0,0,1,1,2,335.0,345.0
2_1454,Chihuahua,14.0,2020-03-06,0.0,0,Boarding,1 DOG 1/2 DAY LATE CHECK OUT,0,0,1,1,2,335.0,345.0
2_1463,Yorkshire Terrier,2.0,2020-06-27,0.0,0,Boarding,Boarding (Additional Pet),0,0,1,1,2,50.0,137.0
2_1464,Shorkie (Yorkie/Shih Tzu Mix),2.0,2020-03-11,0.0,0,Boarding,Daycare,0,26,1,1,42,200.0,2861.0
2_1464,Shorkie (Yorkie/Shih Tzu Mix),2.0,2020-03-11,0.0,0,Boarding,DC Punch 1 Dog 11 Days,0,26,1,1,42,200.0,2861.0
2_1484,German Shepherd Dog,2.0,2020-07-24,0.0,0,Boarding,Daycare Half Day,0,0,1,0,1,95.0,0.0
2_1484,German Shepherd Dog,2.0,2020-07-24,0.0,0,Boarding,Boarding,0,0,1,0,1,95.0,0.0
2_1488,Golden Retriever,2.0,2020-03-27,0.0,0,Staff Bath,Nail Trim,0,0,1,1,64,25.0,1700.25
2_1488,Golden Retriever,2.0,2020-03-27,0.0,0,Boarding,Daycare Half Day,0,0,1,1,64,25.0,1700.25
2_1493,Greater Swiss Mountain Dog,9.0,2020-09-04,0.0,0,Boarding,Boarding (Additional Pet) 09-04-2020 -> 09-06-2020,0,0,1,0,1,75.0,0.0
2_1493,Greater Swiss Mountain Dog,9.0,2020-09-04,0.0,0,Staff Bath,Basic Bath,0,0,1,0,1,75.0,0.0
2_1524,poodle mix,2.0,2020-07-04,0.0,0,Staff Bath,Basic Bath,0,0,1,1,2,205.0,175.0
2_1524,poodle mix,2.0,2020-07-04,0.0,0,Boarding,Boarding (Additional Pet),0,0,1,1,2,205.0,175.0
2_1525,Pitbull,3.0,2020-03-03,0.0,0,Staff Bath,Basic Bath,0,0,1,1,5,145.0,555.0
2_1525,Pitbull,3.0,2020-03-03,0.0,0,Boarding,Boarding (Additional Pet),0,0,1,1,5,145.0,555.0
2_1525,Pitbull,3.0,2020-03-03,0.0,0,Boarding,Daycare (Additional Pet),0,0,1,1,5,145.0,555.0
2_1533,mutt,3.0,2020-03-07,0.0,0,Boarding,Boarding,0,9,1,1,78,50.0,7954.17
2_1533,mutt,3.0,2020-03-07,0.0,0,Staff Bath,Nail Trim,0,9,1,1,78,50.0,7954.17
2_1560,German Shorthaired Pointer,4.0,2020-10-01,0.0,0,Boarding,Boarding 09-21-2020 -> 10-02-2020,0,0,1,1,2,440.0,320.0
2_1581,Lab Mix,4.0,2020-03-14,0.0,0,Staff Bath,Basic Bath,0,49,1,1,79,245.0,8738.43
2_1581,Lab Mix,4.0,2020-03-14,0.0,0,Boarding,1 DOG 1/2 DAY LATE CHECK OUT,0,49,1,1,79,245.0,8738.43
2_1581,Lab Mix,4.0,2020-03-14,0.0,0,Boarding,Boarding,0,49,1,1,79,245.0,8738.43
2_1582,Border Collie Mix,8.0,2020-04-03,0.0,0,Boarding,Daycare Half Day,0,0,1,1,10,15.0,415.72
2_1587,Morkie,2.0,2020-09-30,0.0,0,Boarding,$25 Double Bubble Bath & D/C 09-30-2020 -> 09-30-2020,0,0,1,1,5,25.0,299.4
2_159,Siberian Husky,8.0,2020-05-29,0.0,0,Boarding,Boarding (Additional Pet),0,0,1,0,1,50.0,0.0
2_1591,King Charles Spaniel,4.0,2020-05-22,0.0,0,Boarding,Boarding,0,0,1,1,14,155.0,2159.0
2_1591,King Charles Spaniel,4.0,2020-05-22,0.0,0,Staff Bath,Nail Trim,0,0,1,1,14,155.0,2159.0
2_1591,King Charles Spaniel,4.0,2020-05-22,0.0,0,Boarding,1 DOG FULL DAY LATE CHARGE,0,0,1,1,14,155.0,2159.0
2_1598,Labradoodle,3.0,2020-11-21,0.0,0,Staff Bath,Basic Bath,0,0,1,1,3,30.0,24.0
2_1602,Husky,2.0,2020-04-27,0.0,0,Staff Bath,Basic Bath,0,0,1,1,3,35.0,105.0
2_1602,Husky,2.0,2020-04-27,0.0,0,Boarding,$15 DAYCARE COVID SPECIAL,0,0,1,1,3,35.0,105.0
2_1670,Sheepdog Mix,2.0,2021-05-06,0.0,0,Boarding,Boarding 05-06-2021 -> 05-10-2021,0,0,1,0,1,160.0,0.0
2_1724,Shih Tzu,2.0,2020-03-11,0.0,0,Staff Bath,Basic Bath,0,0,1,0,1,30.0,0.0
2_1724,Shih Tzu,2.0,2020-03-11,0.0,0,Boarding,Daycare,0,0,1,0,1,30.0,0.0
2_1733,Miniature Australian Shepherd,2.0,2020-03-04,0.0,0,Boarding,DC PUNCH 1 DOG 11 DAYS,0,27,1,1,39,400.0,3113.0
2_1733,Miniature Australian Shepherd,2.0,2020-03-04,0.0,0,Boarding,Daycare,0,27,1,1,39,400.0,3113.0
2_1733,Miniature Australian Shepherd,2.0,2020-03-04,0.0,0,Boarding,DC PUNCH 1 DOG 11 DAYS,0,27,1,1,39,400.0,3113.0
2_1733,Miniature Australian Shepherd,2.0,2020-03-04,0.0,0,Boarding,Daycare,0,27,1,1,39,400.0,3113.0
2_1755,Chihuahua mix,2.0,2020-03-20,0.0,0,Boarding,Daycare (Additional Pet),0,0,1,1,3,20.0,57.31
2_1767,golden mix,2.0,2020-04-02,0.0,0,Staff Bath,Basic Bath,0,0,1,1,2,35.0,30.0
2_1767,golden mix,2.0,2020-04-02,0.0,0,Boarding,Daycare Half Day,0,0,1,1,2,35.0,30.0
2_1768,Golden Doodle,6.0,2020-04-02,0.0,0,Staff Bath,Basic Bath,0,0,1,0,1,35.0,0.0
2_1768,Golden Doodle,6.0,2020-04-02,0.0,0,Boarding,Daycare Half Day,0,0,1,0,1,35.0,0.0
2_1785,Chihuahua mix,10.0,2020-05-01,0.0,0,Grooming (Full Service),Full Service Groom,0,0,1,1,14,55.0,1404.44
2_1786,Golden Doodle,5.0,2020-05-01,0.0,0,Grooming (Full Service),Full Service Groom,0,0,1,1,14,55.0,1290.0
2_1807,Airedale Terrier,2.0,2020-07-20,0.0,0,Staff Bath,Basic Bath,0,0,1,1,2,210.0,440.0
2_1807,Airedale Terrier,2.0,2020-07-20,0.0,0,Boarding,Boarding,0,0,1,1,2,210.0,440.0
2_1807,Airedale Terrier,2.0,2020-07-20,0.0,0,Boarding,Daycare,0,0,1,1,2,210.0,440.0
2_1825,Shih Tzu,10.0,2020-03-04,0.0,0,Boarding,Boarding,0,0,1,0,1,375.0,0.0
2_1825,Shih Tzu,10.0,2020-03-04,0.0,0,Boarding,1 DOG 1/2 DAY LATE CHECK OUT,0,0,1,0,1,375.0,0.0
2_1836,Shih Tzu,2.0,2020-03-13,0.0,0,Boarding,Daycare (Additional Pet),0,0,1,1,2,20.0,35.0
2_1848,Australian Sheepdog,7.0,2020-11-04,0.0,0,Boarding,Boarding 11-04-2020 -> 11-09-2020,0,0,1,0,1,200.0,0.0
2_1855,Goldendoodle,2.0,2020-04-20,0.0,0,Staff Bath,Basic Bath,0,0,1,1,3,25.0,131.76
2_1890,Golden Doodle,4.0,2020-09-20,0.0,0,Boarding,2 DOGS FULL DAY LATE PICK UP,0,4,1,1,8,85.0,540.0
2_1890,Golden Doodle,4.0,2020-09-20,0.0,0,Boarding,Boarding 09-20-2020 -> 09-21-2020,0,4,1,1,8,85.0,540.0
2_1902,Sheltie/Terrier Mix,6.0,2020-03-13,0.0,0,Boarding,Daycare,0,0,1,1,25,25.0,1144.91
2_1904,Cavapoo,3.0,2020-03-03,22.8,0,Boarding,Boarding,0,2,1,1,7,120.0,731.0
2_1904,Cavapoo,3.0,2020-03-03,22.8,0,Boarding,Daycare,0,2,1,1,7,120.0,731.0
2_1977,Papillon,2.0,2020-03-14,6.0,0,Boarding,2 DOGS FULL DAY LATE PICK UP,0,0,1,1,50,125.0,1408.0
2_1977,Papillon,2.0,2020-03-14,6.0,0,Boarding,Boarding,0,0,1,1,50,125.0,1408.0
2_1986,French Bulldog,,2020-03-11,20.0,0,Boarding,Boarding,0,0,1,1,2,200.0,28.0
2_1989,Chihuahua (long Coat),,2020-09-05,0.0,1,Professional Services,Examination,0,0,1,1,3,272.99,296.2
2_1989,Chihuahua (long Coat),,2020-09-05,0.0,0,Boarding,Boarding 09-05-2020 -> 09-07-2020,0,0,1,1,3,272.99,296.2
2_1989,Chihuahua (long Coat),,2020-09-05,0.0,1,Vaccinations,DHLPP (3 year),0,0,1,1,3,272.99,296.2
2_1989,Chihuahua (long Coat),,2020-09-05,0.0,0,Staff Bath,Nail Trim (Kennel Staff) 09-05-2020 -> 09-07-2020,0,0,1,1,3,272.99,296.2
2_1989,Chihuahua (long Coat),,2020-09-05,0.0,1,Vaccinations,Bordetella (Injectable),0,0,1,1,3,272.99,296.2
2_1995,French Bulldog,2.0,2020-08-27,15.0,1,Medication,Panacur Dog Granules per gram (10#),0,0,1,1,13,23.64,504.0
2_1996,Mixed Breed - Large,,2020-08-24,0.0,1,Wellness Plan Fees,Wellness Enrollment Fee,0,11,1,1,14,39.0,518.64
2_1996,Mixed Breed - Large,,2020-08-24,0.0,1,Promotions,Wellness Enrollment Fee Waiver,0,11,1,1,14,39.0,518.64
2_1996,Mixed Breed - Large,,2020-08-24,0.0,1,Vaccinations,Canine Rabies (3 year),0,11,1,1,14,39.0,518.64
2_1996,Mixed Breed - Large,,2020-08-24,0.0,1,Laboratory - In-house,Vetscan Rapid Heartworm Test,0,11,1,1,14,39.0,518.64
2_1996,Mixed Breed - Large,,2020-08-24,0.0,1,Parasite Control,ProHeart 6 Injection (44-88 lb),0,11,1,1,14,39.0,518.64
2_1996,Mixed Breed - Large,,2020-08-24,0.0,1,Professional Services,Nail trim (Routine),0,11,1,1,14,39.0,518.64
2_1996,Mixed Breed - Large,,2020-08-24,0.0,1,Wellness Plan Fees,Wellness Subscription Fee,0,11,1,1,14,39.0,518.64
2_1996,Mixed Breed - Large,,2020-08-24,0.0,1,Vaccinations,DHLPP (3 year),0,11,1,1,14,39.0,518.64
2_1996,Mixed Breed - Large,,2020-08-24,0.0,1,Vaccinations,Bordetella (Intranasal),0,11,1,1,14,39.0,518.64
2_1996,Mixed Breed - Large,,2020-08-24,0.0,1,Parasite Control,Proheart 6 (Moxidectin) Inventory Item,0,11,1,1,14,39.0,518.64
2_1996,Mixed Breed - Large,,2020-08-24,0.0,1,Professional Services,Examination,0,11,1,1,14,39.0,518.64
2_2005,Australian Shepherd,5.0,2020-06-12,45.0,0,Boarding,Daycare,0,2,1,1,7,67.5,2419.5
2_2023,French Bulldog,2.0,2020-10-08,5.0,0,Staff Bath,Nail Trim (Kennel Staff),0,0,1,1,2,10.0,10.0
2_2033,Scottish Terrier,,2020-03-11,20.0,0,Boarding,Daycare Half Day,0,0,1,1,30,15.0,1602.65
2_2036,Bernese Mountain Dog,2.0,2020-03-13,47.0,0,Staff Bath,Nail Trim,0,21,1,1,35,10.0,3152.2
2_2036,Bernese Mountain Dog,2.0,2020-03-13,47.0,0,Boarding,Daycare,0,21,1,1,35,10.0,3152.2
2_2072,0.0,2.0,2020-09-18,11.0,0,Boarding,$30 Double Bubble BEN & D/C 09-18-2020 -> 09-18-2020,0,0,1,0,1,30.0,0.0
2_2075,German Shepherd,2.0,2020-04-28,75.0,0,Staff Bath,Nail Trim,0,0,1,1,22,25.0,522.4
2_2075,German Shepherd,2.0,2020-04-28,75.0,0,Boarding,$15 DAYCARE COVID SPECIAL,0,0,1,1,22,25.0,522.4
2_2076,Chihuahua (smooth Coat),2.0,2020-03-23,7.0,0,Boarding,1st dog DOUBLE DOG MONDAY,0,0,1,1,18,25.0,431.0
2_2080,Australian Terrier,5.0,2020-03-23,12.0,0,Staff Bath,Basic Bath,0,0,1,1,35,55.0,1009.0
2_2080,Australian Terrier,5.0,2020-03-23,12.0,0,Boarding,1st dog DOUBLE DOG MONDAY,0,0,1,1,35,55.0,1009.0
2_2083,Pitbull X,4.0,2020-03-28,45.0,0,Boarding,Boarding,0,0,1,1,17,60.0,1531.99
2_2083,Pitbull X,4.0,2020-03-28,45.0,0,Staff Bath,Basic Bath,0,0,1,1,17,60.0,1531.99
2_2084,Minature Schnauzer,3.0,2020-03-05,16.0,0,Boarding,Daycare (Additional Pet),0,0,1,1,16,30.0,430.0
2_2084,Minature Schnauzer,3.0,2020-03-05,16.0,0,Staff Bath,Basic Bath,0,0,1,1,16,30.0,430.0
2_2088,German Wirehaired Pointer,5.0,2020-03-11,65.0,0,Staff Bath,Nail Trim,0,0,1,1,11,130.0,1138.97
2_2088,German Wirehaired Pointer,5.0,2020-03-11,65.0,0,Boarding,Boarding,0,0,1,1,11,130.0,1138.97
2_2089,Golden Doodle,2.0,2020-03-11,25.0,0,Staff Bath,Basic Bath,0,0,1,1,11,105.0,592.48
2_2089,Golden Doodle,2.0,2020-03-11,25.0,0,Boarding,Boarding (Additional Pet),0,0,1,1,11,105.0,592.48
2_2091,0.0,,2020-03-04,40.0,0,Boarding,Boarding (Additional Pet),0,0,1,1,3,175.0,375.0
2_2107,Mixed Breed - Large,8.0,2020-06-06,60.0,0,Boarding,Boarding,0,0,1,1,4,175.0,695.0
2_2107,Mixed Breed - Large,8.0,2020-06-06,60.0,0,Boarding,1 DOG 1/2 DAY LATE CHECK OUT,0,0,1,1,4,175.0,695.0
2_2110,Shih Tzu,7.0,2020-07-06,18.0,0,Boarding,1st dog DOUBLE DOG MONDAY,0,0,1,1,6,25.0,260.0
2_2116,Golden Doodle,9.0,2020-10-02,23.0,0,Grooming (Full Service),Brush Out 10-02-2020 -> 10-02-2020,0,0,1,1,4,40.0,230.0
2_2116,Golden Doodle,9.0,2020-10-02,23.0,0,Boarding,$30 Double Bubble BEN & D/C 10-02-2020 -> 10-02-2020,0,0,1,1,4,40.0,230.0
2_2143,Great Dane,1.0,2020-09-14,67.8,0,Boarding,Daycare 09-14-2020 -> 09-14-2020,0,18,1,1,21,100.0,4316.55
2_2143,Great Dane,1.0,2020-09-14,67.8,0,Boarding,DC Punch 1 Dog 5 Days,0,18,1,1,21,100.0,4316.55
2_2153,Yorkshire Terrier,5.0,2020-04-06,14.0,0,Boarding,1 DOG FULL DAY LATE CHARGE,0,0,1,1,3,85.0,50.0
2_2153,Yorkshire Terrier,5.0,2020-04-06,14.0,0,Boarding,Boarding,0,0,1,1,3,85.0,50.0
2_2153,Yorkshire Terrier,5.0,2020-04-06,14.0,0,Staff Bath,Basic Bath,0,0,1,1,3,85.0,50.0
2_2176,Yorkshire Terrier,7.0,2020-10-14,13.0,0,Boarding,Daycare 10-14-2020 -> 10-14-2020,0,0,1,1,3,15.0,40.0
2_2201,Shih Tzu,1.0,2020-04-13,32.0,0,Grooming (Full Service),Full Service Groom,0,0,1,1,3,36.0,55.7
2_2212,Cocker Spaniel X,13.0,2020-06-22,30.0,0,Retail,CITK CHICKEN FRICK  A ZEE 6 OZ,0,0,1,1,8,5.98,268.85
2_2212,Cocker Spaniel X,13.0,2020-06-22,30.0,0,Retail,FIVE DOLLAR BAG OF TREATS,0,0,1,1,8,5.98,268.85
2_2221,Chihuahua (smooth Coat),7.0,2020-04-04,5.0,0,Staff Bath,Basic Bath,0,0,1,1,8,35.0,536.0
2_2221,Chihuahua (smooth Coat),7.0,2020-04-04,5.0,0,Boarding,Daycare Half Day,0,0,1,1,8,35.0,536.0
2_2222,Chihuahua (smooth Coat),7.0,2020-04-04,5.0,0,Staff Bath,Basic Bath,0,0,1,1,6,35.0,310.0
2_2222,Chihuahua (smooth Coat),7.0,2020-04-04,5.0,0,Boarding,Daycare Half Day,0,0,1,1,6,35.0,310.0
2_2227,German Shepherd Dog (long Stock),2.0,2020-05-12,50.0,0,Staff Bath,Basic Bath,0,0,1,0,1,124.0,0.0
2_2227,German Shepherd Dog (long Stock),2.0,2020-05-12,50.0,0,Boarding,7 Day Boarding Special Silver,0,0,1,0,1,124.0,0.0
2_2237,Maltese X,9.0,2020-04-29,10.0,0,Boarding,Daycare,0,6,1,1,18,1000.0,2197.11
2_2237,Maltese X,9.0,2020-04-29,10.0,0,Boarding,Roxy Albano special,0,6,1,1,18,1000.0,2197.11
2_2241,Tabby,1.0,2020-04-04,0.5,0,Boarding,Boarding,0,0,1,0,1,55.0,0.0
2_2241,Tabby,1.0,2020-04-04,0.5,0,Boarding,1 DOG 1/2 DAY LATE CHECK OUT,0,0,1,0,1,55.0,0.0
2_2247,0.0,,2020-08-17,0.0,0,Boarding,2nd dog DOUBLE DOG MONDAY 08-17-2020 -> 08-17-2020,0,0,1,1,4,30.0,360.0
2_2247,0.0,,2020-08-17,0.0,0,Staff Bath,Basic Bath 08-17-2020 -> 08-17-2020,0,0,1,1,4,30.0,360.0
2_2262,Pointer X,15.0,2020-06-06,0.0,0,Grooming (Full Service),Full Service Groom,0,0,1,0,1,45.0,0.0
2_2268,Golden Doodle,2.0,2020-03-04,20.0,0,Boarding,DC PUNCH 1 DOG 11 DAYS,0,19,1,1,28,200.0,2863.97
2_2268,Golden Doodle,2.0,2020-03-04,20.0,0,Boarding,Daycare,0,19,1,1,28,200.0,2863.97
2_2282,Belgian Shepherd (malinois),1.0,2020-09-28,64.0,1,Professional Services,Examination,0,0,1,1,6,74.99,654.0
2_2282,Belgian Shepherd (malinois),1.0,2020-09-28,64.0,1,Vaccinations,Leptospirosis (1 year),0,0,1,1,6,74.99,654.0
2_2326,Golden Doodle,1.0,2020-08-14,55.0,0,Boarding,Boarding (Additional Pet) 08-14-2020 -> 08-16-2020,0,0,1,1,2,50.0,145.0
2_2343,Golden Retriever,3.0,2020-06-10,90.0,0,Boarding,Boarding,0,0,1,1,2,40.0,25.0
2_2350,Golden Doodle,3.0,2020-06-25,35.0,0,Boarding,Boarding,0,0,1,1,5,145.0,775.0
2_2350,Golden Doodle,3.0,2020-06-25,35.0,0,Boarding,1 DOG FULL DAY LATE CHARGE,0,0,1,1,5,145.0,775.0
2_2376,Schnauzer,7.0,2020-03-27,18.0,0,Staff Bath,Basic Bath,0,8,1,1,18,35.0,902.23
2_2376,Schnauzer,7.0,2020-03-27,18.0,0,Boarding,Daycare Half Day,0,8,1,1,18,35.0,902.23
2_2384,Maltese,11.0,2020-06-15,9.0,0,Boarding,DC Punch 1 Dog 5 Days,0,2,1,1,5,100.0,358.0
2_2384,Maltese,11.0,2020-06-15,9.0,0,Boarding,Daycare,0,2,1,1,5,100.0,358.0
2_2397,Mixed Breed - Small,1.0,2020-06-20,1.0,0,Boarding,Daycare Half Day,0,4,1,1,48,60.0,744.0
2_2397,Mixed Breed - Small,1.0,2020-06-20,1.0,0,Boarding,DC Punch 1 Dog 5 (1/2) Days,0,4,1,1,48,60.0,744.0
2_2401,Labradoodle,2.0,2020-03-24,42.0,0,Boarding,DC Punch 1 Dog 11 Days,0,23,1,1,37,200.0,4056.51
2_2401,Labradoodle,2.0,2020-03-24,42.0,0,Boarding,Daycare,0,23,1,1,37,200.0,4056.51
2_2402,English Springer Spaniel,,2020-03-04,60.0,0,Boarding,1 dog 5 day punchcard,0,8,1,1,18,100.0,1021.73
2_2404,Mixed Breed - Small,3.0,2020-05-06,11.0,0,Staff Bath,Basic Bath,0,5,1,1,15,35.0,620.0
2_2404,Mixed Breed - Small,3.0,2020-05-06,11.0,0,Boarding,$15 DAYCARE COVID SPECIAL,0,5,1,1,15,35.0,620.0
2_2431,Jack Russell,3.0,2020-08-17,10.0,0,Boarding,Boarding (Additional Pet) 08-17-2020 -> 08-26-2020,0,0,1,0,1,225.0,0.0
2_2432,Miniature Australian Shepard,4.0,2020-08-17,30.0,0,Boarding,Boarding 08-17-2020 -> 08-26-2020,0,0,1,1,3,360.0,230.0
2_2460,Mixed Breed - Medium,3.0,2020-05-30,28.0,0,Boarding,Daycare,0,0,1,1,7,55.0,984.0
2_2460,Mixed Breed - Medium,3.0,2020-05-30,28.0,0,Grooming (Full Service),Full Service Groom,0,0,1,1,7,55.0,984.0
2_2496,German Shepherd,2.0,2020-10-23,0.0,0,Boarding,1 DOG 1/2 DAY LATE CHECK OUT,0,0,1,0,1,300.0,0.0
2_2496,German Shepherd,2.0,2020-10-23,0.0,0,Boarding,Boarding 10-23-2020 -> 10-29-2020,0,0,1,0,1,300.0,0.0
2_2496,German Shepherd,2.0,2020-10-23,0.0,0,Grooming (Full Service),Full Service Groom,0,0,1,0,1,300.0,0.0
2_2504,Yorkshire Terrier,2.0,2020-03-05,4.67,0,Boarding,Daycare,0,0,1,1,49,80.0,2437.26
2_2504,Yorkshire Terrier,2.0,2020-03-06,4.67,0,Boarding,Daycare,0,0,1,1,49,80.0,2437.26
2_2504,Yorkshire Terrier,2.0,2020-03-06,4.67,0,Staff Bath,Basic Bath,0,0,1,1,49,80.0,2437.26
2_2529,Beagle,4.0,2020-08-14,30.0,0,Boarding,1 DOG FULL DAY LATE CHARGE 08-14-2020 -> 08-15-2020,0,0,1,1,2,65.0,164.0
2_2529,Beagle,4.0,2020-08-14,30.0,0,Boarding,Boarding 08-14-2020 -> 08-15-2020,0,0,1,1,2,65.0,164.0
2_2532,Chihuahua (smooth Coat),2.0,2020-05-26,6.2,0,Boarding,Daycare,0,16,1,1,16,200.0,2629.68
2_2532,Chihuahua (smooth Coat),2.0,2020-05-26,6.2,0,Boarding,DC Punch 1 Dog 11 Days,0,16,1,1,16,200.0,2629.68
2_2538,Shih Tzu,3.0,2020-05-30,15.0,0,Boarding,Daycare Half Day,0,0,1,1,11,15.0,2075.11
2_2548,Chihuahua (long Coat),6.0,2020-03-29,22.0,0,Grooming (Full Service),Full Service Groom,0,6,1,1,32,48.0,2385.49
2_2549,American Shorthair,3.0,2020-07-08,10.15,0,Boarding,Boarding,0,0,1,0,1,65.0,0.0
2_2549,American Shorthair,3.0,2020-07-08,10.15,0,Boarding,1 DOG FULL DAY LATE CHARGE,0,0,1,0,1,65.0,0.0
